project_id;project_name;app_id;app_name;first_seen_at;last_seen_at;last_seen_app_version;last_seen_ip_country;last_seen_platform;last_seen_platform_version;last_seen_sdk_version;last_seen_locale;price_experiment_id;price_experiment_variant;email;phone_number;media_source;campaign;ad_group;ad;keyword;creative;idfa;idfv;gps_ad_id;custom_attributes;has_made_sandbox_purchase;latest_entitlement;latest_product;is_rc_promo;first_purchase_at;trial_start_at;trial_end_at;most_recent_purchase_at;most_recent_renewal_at;latest_expiration_at;subscription_opt_out_at;trial_opt_out_at;total_renewals;total_spent;latest_store;latest_store_country;latest_auto_renew_intent;all_purchased_product_ids;most_recent_billing_issues_at;status;has_made_a_non_subscription_purchase;latest_offer;latest_offer_type;latest_purchased_offering;latest_ownership_type;app_user_id
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715969027387;1717551246000;1.1.4;FR;iOS;Version 17.5.1 (Build 21F90);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;8EE52631-E7D3-4F33-87C2-3F2560489A28;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;2zIS6NSZdGWAis6E7xWNsGKwHR13
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716725391015;1716725402000;1.1.4;SG;iOS;Version 17.5.1 (Build 21F90);4.41.1;"en-SG,en-GB;q=0.9,en;q=0.8";;;;;;;;;;;;1A5D9AA6-CB79-4AA0-A8BF-29C95D424B48;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;L95jCQbCcSSw0Eo0MKiskPnUl8t2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716640334277;1716640334000;1.1.4;GB;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-GB,en-US;q=0.9,en;q=0.8";;;;;;;;;;;;11CBC00D-4E30-40F0-9157-665F016B162E;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;NprvssFojWbxjJPnXXajyjZyNsi1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717049885653;1717049885000;1.1.4;AU;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-AU,en;q=0.9";;;;;;;;;;;;8215AE69-2D5F-44B0-8B71-E343C569BA86;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:c22b903e8739439a8dfe225954bbd752
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716530693031;1716530717000;1.1.4;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;A0E9F404-11B7-43CD-9CAE-F6E58500BE36;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;WNVCQ4vcTtYs56hhO9zPapvabEs1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715013258875;1715013307000;1.1.3;KR;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;68248dy4QSNz2EuC0mxI258xH563
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715957402193;1715957402000;1.1.4;US;iOS;Version 17.5 (Build 21F79);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;92132D1A-DF52-4BCC-96DA-DC4396F29B7C;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;QPXbZCcEIfXtKhZn168fdlgSqeZ2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1714690617718;1714690617000;0.4.2;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:303f4a343f754a479a779f46d700dfaa
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717272576290;1717272587000;1.1.4;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;5CDD589A-3879-45A5-91E7-C4551B102323;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;CxSmVEgxyEa2cRKUoZuvx8hQdlJ2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716568046005;1716568046000;1.1.4;CO;iOS;Version 17.4.1 (Build 21E236);4.41.1;"es-419,es;q=0.9";;;;;;;;;;;;11B77CFF-1616-40A2-B98F-CEAEC1BC633E;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;0XLsFSvrMXXPPvfSjoR3Ncm6ufj1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717705413808;1717705413000;2.0.1;US;iOS;Version 17.5.1 (Build 21F90);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:0cb01d7fa6764302b1cb2780c549c36f
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717705479819;1717705479000;2.0.1;US;iOS;Version 17.5.1 (Build 21F90);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:24b2184157c34b2ebe8268052280de88
