"plugin_name","plugin_author","num_downloads","description","repo_url"
"Obsius Publish","By Jon Grythe Stødle","3,874 downloads","Make single notes instantly available on the web.","https://github.com/jonstodle/obsius-obsidian-plugin"
"Thumbnails","By Michael Harris","5,127 downloads","Insert YouTube thumbnails into your notes","https://github.com/Meikul/obsidian-thumbnails"
"Timeline","By George Butco","19,424 downloads","Build great timelines","https://github.com/George-debug/obsidian-timeline"
"File Include","By Till Hoffmann","410 downloads","Include or embed files in Obsidian markdown.","https://github.com/tillahoffmann/obsidian-file-include"
"Birthday-Tracker","By Marius Wörfel","64 downloads","Keep track of all birthdays of your family and friends.","https://github.com/Raboro/Obsidian-Birthday-Tracker-Plugin"
"Dataview","By Michael Brenan","959,088 downloads","Advanced queries over your vault for the data-obsessed.","https://github.com/blacksmithgu/obsidian-dataview"
"RPG Manager","By Carlo Nicora","7,280 downloads","Tabletop role playing game campaign manager.","https://github.com/carlonicora/obsidian-rpg-manager"
"Typewriter Scroll","By death_au","44,692 downloads","Typewriter-style scrolling which keeps the view centered in the editor.","https://github.com/deathau/cm-typewriter-scroll-obsidian"
"QR Code Generator Plugin","By Rudi Häusler","3,783 downloads","QR code generator.","https://github.com/rudimuc/obsidian-qrcode"
"Chemical Structure Renderer","By xaya1001","233 downloads","Render chemical structures from SMILES strings into PNG or SVG format using Ketcher and Indigo Service.","https://github.com/xaya1001/obsidian-Chemical-Structure-Renderer"
"APL Render","By my99n","140 downloads","render APL syntax","https://github.com/vzsky/apl-obsidian"
"MathLinks","By Zhaoshen Zhai","1,899 downloads","Render MathJax in your links.","https://github.com/zhaoshenzhai/obsidian-mathlinks"
"Apple Books Highlights","By Atif Afzal","1,070 downloads","Sync your Apple Books highlights automatically.","https://github.com/atfzl/obsidian-apple-books-plugin"
"Financial Doc","By Studio Webux","413 downloads","Financial Documentation and Tracking using CSV format and Chart.js directly in Obsidian","https://github.com/yet-another-tool/obsidian-findoc"
"Squiggle","By Jesse Hoogland","458 downloads","Probabilistic estimation with Squiggle in your notes.","https://github.com/jqhoogland/obsidian-squiggle"
"Jupyter","By tillahoffmann","20,307 downloads","Run Python code in Obsidian using Jupyter.","https://github.com/tillahoffmann/obsidian-jupyter"
"TagFolder","By vorotamoroz","56,337 downloads","Show tags as folder.","https://github.com/vrtmrz/obsidian-tagfolder"
"Page Heading From Links","By Mark Beattie","3,231 downloads","Inserts a heading into blank pages from the file name.","https://github.com/beet/page-headings-obsidian-plugin"
"Diagrams","By Sam Greenhalgh","46,835 downloads","Create and edit Draw.io diagrams in Obsidian.","https://github.com/zapthedingbat/drawio-obsidian"
"Frontmatter Tag Suggest","By Jonathan Miller","13,935 downloads","Autocompletes tags in the frontmatter tags field","https://github.com/jmilldotdev/obsidian-frontmatter-tag-suggest"
"MAKE.md","By MAKE.md","118,258 downloads","Make.md brings you features that supercharges Obsidian. Sort your files in custom order and add file icons using Spaces. Edit inline embeds with Flow Editor. And style your text and add new Markdown blocks without writing Markdown using Maker Mode.","https://github.com/Make-md/makemd"
"Companion","By rizerphe","3,293 downloads","Autocomplete with AI, including ChatGPT, through a copilot-like interface.","https://github.com/rizerphe/obsidian-companion"
"ExcaliBrain","By Zsolt Viczian","82,891 downloads","ExcaliBrain is inspired by TheBrain and Breadcrumbs. It is an interactive, structured mind-map of your Obsidian vault generated based on the folders and files in your vault by interpreting the links, Dataview fields, tags and YAML frontmatter in your Markdown files.","https://github.com/zsviczian/excalibrain"
"Embed Code File","By Abdullah Almariah","1,729 downloads","Embed code file from vault using code blocks.","https://github.com/almariah/embed-code-file"
"Touch Bar Macros","By Frostplexx","145 downloads","Run custom macros from your Mac's Touch Bar.","https://github.com/frostplexx/obsidian-touchbar-macros"
"NoteTweet","By Christian B. B. Houmann","2,180 downloads","Post tweets from Obsidian.","https://github.com/chhoumann/notetweet_obsidian"
"Ordered List Style","By erykwalder","1,655 downloads","Set ordered list style inline. Alphabetic lists, Roman numeral lists, etc.","https://github.com/erykwalder/obsidian-list-style"
"Pluck","By Kevin Barrett","5,080 downloads","Quickly create notes in Obsidian from web pages.","https://github.com/kevboh/obsidian-pluck"
"GPT Assistant","By M7mdisk","1,508 downloads","Use a GPT-3 based model on your notes and get personalized answers from your knowledge base.","https://github.com/M7mdisk/obsidian-gpt"
"Better Word Count","By Luke Leppan","214,133 downloads","Counts the words of selected text in the editor.","https://github.com/lukeleppan/better-word-count"
"Antidote Grammar Checker Integration","By Heziode","2,103 downloads","Unofficial integration of Antidote, a powerful English and French grammar checker.","https://github.com/Heziode/obsidian-antidote"
"Recipe Grabber","By seethroughdev","645 downloads","Quickly grab the important contents of any online recipe.","https://github.com/seethroughdev/obsidian-recipe-grabber"
"Sequence Hotkeys","By Ruan Moolman","1,587 downloads","Set hotkeys with key sequences instead of a single chord.","https://github.com/moolmanruan/obsidian-sequence-hotkeys"
"Insert Heading Link","By Signynt","1,237 downloads","Add a command to create a link to a heading.","https://github.com/Signynt/insert-heading-link"
"Path Title","By Justin Deal","4,098 downloads","Adds path (or optional replacement) to the filename title of each pane.","https://github.com/jdeal/obsidian-path-title-plugin"
"Reference Map","By Anoop K. Chandran","3,519 downloads","Reference and citation map for literature review and discovery.","https://github.com/anoopkcn/obsidian-reference-map"
"Core Search Assistant","By qawatake","14,586 downloads","Enhance built-in search: keyboard interface, card preview, bigger preview","https://github.com/qawatake/obsidian-core-search-assistant-plugin"
"Image Uploader","By Creling","2,339 downloads","Upload the image in your clipboard to any image hosting automatically when pasting.","https://github.com/Creling/obsidian-image-uploader"
"Status Bar Quote","By Jinu","672 downloads","Show your favorite quote in Obsidian status bar.","https://github.com/yesjinu/StatusBarQuote"
"Hotkeys++","By Argentina Ortega Sainz","66,736 downloads","Additional hotkeys to do common things in Obsidian.","https://github.com/argenos/hotkeysplus-obsidian"
"Advanced New File","By Ivan Chernov","10,731 downloads","Create notes in chosen folder.","https://github.com/vanadium23/obsidian-advanced-new-file"
"Imgur Plugin","By Kirill Gavrilov","17,119 downloads","Uploads images from your clipboard to imgur.com and embeds uploaded image to your note.","https://github.com/gavvvr/obsidian-imgur-plugin"
"Page Properties","By Anton Bualkh","1,194 downloads","Add page properties similar to Logseq.","https://github.com/necauqua/obsidian-page-properties"
"Sidebar Expand on Hover","By Tousif Iqbal Anik (toiq)","4,849 downloads","Expands or collapses the sidebar based on mouse hovering on the left ribbon.","https://github.com/toiq/obsidian-sidebar-expand-on-hover"
"Memos Sync","By hyoban","477 downloads","Keep in sync with your memos.","https://github.com/hyoban/obsidian-memos-plugin"
"Crossbow","By shoedler","1,616 downloads","Find backlinks in your notes","https://github.com/shoedler/crossbow"
"echarts","By windily-cloud && Cuman","1,992 downloads","Render echarts in Obsidian","https://github.com/cumany/obsidian-echarts"
"Optimize Canvas Connections","By Félix Chénier","3,016 downloads","Declutters a canvas by reconnecting notes using their nearest edges.","https://github.com/felixchenier/obsidian-optimize-canvas-connections"
"Sortable","By alexandru-dinu","47,488 downloads","Wikipedia-like sortable tables.","https://github.com/alexandru-dinu/obsidian-sortable"
"Tab Rotator","By Steven Jin","251 downloads","Rotates opened files to the left or right with a specified interval.","https://github.com/autohub7/obsidian-tab-rotator"
"Dangerzone Writing","By Alexis Rondeau","5,486 downloads","This plugin is dangerous! When you start it, you have to write without stopping for 100 seconds. If you stop, think and look around, after 3 seconds the plugin will DELETE what you've written in this note.","https://github.com/akaalias/dangerzone-writing-plugin"
"Power Search","By Aviral Batra","1,830 downloads","Searches notes based on current line","https://github.com/aviral-batra/obsidian-power-search"
"Day Planner","By James Lynch","214,539 downloads","Day planning and managing pomodoro timers from a task list in a Markdown note.","https://github.com/lynchjames/obsidian-day-planner"
"Unique attachments","By Dmitry Savosh","5,206 downloads","Rename attachments, making their names unique (based on hashing of file content).","https://github.com/dy-sh/obsidian-unique-attachments"
"Importer","By Obsidian","11,500 downloads","Import data from Notion, Evernote, Google Keep, Bear, and HTML files.","https://github.com/obsidianmd/obsidian-importer"
"Blockquote Levels","By Carlo Zottmann","955 downloads","Adds commands for increasing/decreasing the blockquote level of the current line or selection(s).","https://github.com/czottmann/obsidian-blockquote-levels"
"Footnote Shortcut","By Alexis Rondeau, Micha Brugger","59,130 downloads","Makes creating footnotes in Obsidian more fun!","https://github.com/MichaBrugger/obsidian-footnotes"
"Code::Stats","By MiskaMyasa","166 downloads","The Code::Stats plugin allows you to track your coding progress and earn XP for writing markdown in the Obsidian editor.","https://github.com/Miskamyasa/obsidian-codestats"
"Wikipedia","By Jonathan Miller","9,824 downloads","Get the first section of Wikipedia for a note title or search term.","https://github.com/jmilldotdev/obsidian-wikipedia"
"Aggregator","By SErAphLi","863 downloads","Helps you gather information from files, and make a summary in the file.","https://github.com/Seraphli/obsidian-aggregator"
"mdx as md","By Nikolay Kozhukharenko","1,365 downloads","Edit mdx files as Markdown in Obsidian.","https://github.com/mkozhukharenko/mdx-as-md-obsidian"
"HK Code Block","By Heekang Park","1,146 downloads","Obsidian plugin developed by Heekang Park; Make code block looking good on reading view","https://github.com/HeekangPark/obsidian-hk-code-block"
"metatemplates","By avirut","2,822 downloads","Generate notes from templates using YAML frontmatter.","https://github.com/avirut/obsidian-metatemplates"
"URI Commands","By kzhovn","1,979 downloads","Execute URIs from the Obsidian command palette.","https://github.com/kzhovn/uri-commands-obsidian"
"Argument Map with Argdown","By amdecker","3,321 downloads","Allows you to write argdown code blocks and view the maps in Preview.","https://github.com/amdecker/obsidian-argdown-plugin"
"Media DB Plugin","By Moritz Jung","8,690 downloads","Query multiple APIs for movies, series, anime, games, music releases and wiki articles, and import them into your vault.","https://github.com/mProjectsCode/obsidian-media-db-plugin"
"Any Block","By LincZero","1,417 downloads","You can flexibility to create a 'Block' by some means. It also provides some useful features, like `list to table`.","https://github.com/LincZero/obsidian-any-block"
"Zotero Link","By Shmavon Gazanchyan","3,003 downloads","Insert link to a Zotero item.","https://github.com/vanakat/zotero-link"
"Todoist Sync Plugin","By jamiebrynes7","55,360 downloads","Materialize Todoist tasks within Obsidian notes.","https://github.com/jamiebrynes7/obsidian-todoist-plugin"
"Better Inline Fields","By David Sarman","4,779 downloads","Enhances Dataview style inline fields.","https://github.com/dsarman/better-inline-fields"
"Supercharged Links","By mdelobelle","62,542 downloads","Adds attributes to internal links with the values of target note's frontmatter attributes.","https://github.com/mdelobelle/obsidian_supercharged_links"
"Format code blocks of various languages","By iVariable","2,515 downloads","Introduces commands to format code (internally uses prettier).","https://github.com/iVariable/Obsidian-Format-Code"
"Quiet Outline","By the_tree","33,828 downloads","Make outline quiet and more powerful, including no-auto-expand, rendering heading as Markdown, and search support.","https://github.com/guopenghui/obsidian-quiet-outline"
"Double Click Tab","By Boninall","1,006 downloads","Modify the default behavior when you double click on the tab title, like close tab.","https://github.com/Quorafind/Obsidian-Double-Click-Tab"
"Apply Patterns","By Jacob Levernier","3,654 downloads","Apply custom patterns of find-and-replace in succession to text.","https://github.com/jglev/obsidian-apply-patterns-plugin"
"DMN Eval","By joleaf","257 downloads","Enables evaluating/executing DMNs.","https://github.com/joleaf/obsidian-dmn-eval-plugin"
"Release Timeline","By cakechaser","3,025 downloads","Release timeline rendered based on notes metadata with a Dataview-like syntax.","https://github.com/cakechaser/obsidian-release-timeline"
"S3 attachments storage","By TechTheAwesome","249 downloads","Storage and retrieval of media attachments on S3 compatible services.","https://github.com/TechTheAwesome/obsidian-s3"
"Advanced Tables","By Tony Grosinger","951,087 downloads","Improved table navigation, formatting, and manipulation.","https://github.com/tgrosinger/advanced-tables-obsidian"
"Budget WYSIWYG","By OwnJoke","5,568 downloads","Automatically switches between preview mode and source mode based on if you are typing or not.","https://github.com/OwnJoke/obsidian-budget-wysiwyg"
"Hypothes.is","By weichenw","8,712 downloads","Sync your Hypothesis highlights.","https://github.com/weichenw/obsidian-hypothesis-plugin"
"Vantage - Advanced search builder","By ryanjamurphy","20,711 downloads","Build advanced search queries in Obsidian.","https://github.com/ryanjamurphy/vantage-obsidian"
"Obsidian Things3 Sync","By royx","3,366 downloads","Sync between Obsidian and Things3. Supports multi-language, tags and dates.","https://github.com/royxue/obsidian-things3-sync"
"Telegraph Publish","By Reorx","977 downloads","Publish your Obsidian note to a Telegraph page.","https://github.com/reorx/obsidian-telegraph-publish"
"Tolino notes Importer","By juergenbr","200 downloads","Import notes from a Tolino E-Reader.","https://github.com/juergenbr/obsidian-tolino-notes-import"
"Readability Score","By zuchka","302 downloads","Score the readabilty of your writing using the Flesch Reading Ease (FRE) formula.","https://github.com/zuchka/obsidian-readability"
"Page Gallery","By Nathan Clark","4,199 downloads","Creates an embeddable gallery based on selected page contents.","https://github.com/tokenshift/obsidian-page-gallery"
"Todoist completed tasks","By Andrey Kulishov","2,897 downloads","Add completed Todoist tasks to your Obsidian notes.","https://github.com/Ledaryy/obsidian-todoist-completed-tasks"
"AutoMOC","By Diego Alcantara","3,983 downloads","Looks for missing linked mentions to the current note and imports them into the current note.","https://github.com/dalcantara7/obsidian-auto-moc"
"盘古 PanGu","By Natumsol","13,777 downloads","A small plugin aims to add space between Chinese Characters and English Alphabet, and it is a boon for typographically compulsive people.","https://github.com/Natumsol/obsidian-pangu"
"Workbench","By ryanjamurphy","17,891 downloads","Keep a workbench of knowledge materials.","https://github.com/ryanjamurphy/workbench-obsidian"
"Daily Named Folder","By Nemo Andrea","3,918 downloads","Like daily notes, but nested in a daily folder with a oneline summary. Better for attachment management & glanceability.","https://github.com/NemoAndrea/obsidian-daily-named-folder"
"Quick Switcher++","By darlal","119,950 downloads","Enhanced Quick Switcher, search open panels, and symbols.","https://github.com/darlal/obsidian-switcher-plus"
"Syncthing Integration","By LBF38","514 downloads","Syncthing integration in Obsidian.","https://github.com/LBF38/obsidian-syncthing-integration"
"Better footnote","By AidenLx","17,085 downloads","Footnote popover for Obsidian.","https://github.com/aidenlx/better-fn"
"Find & Replace in Selection","By TClark1011","2,661 downloads","Replace text within your current selection.","https://github.com/TClark1011/obsidian-find-and-replace-in-selection"
"Janitor","By Gabriele Cannata","12,907 downloads","Perform cleanup tasks on the Obsidian vault.","https://github.com/Canna71/obsidian-janitor"
"Order List","By Henry Gustafson","531 downloads","Adds 'Order selected list' command to take the selected list and order it by the number at the end.","https://github.com/lizard-heart/obsidian-order-list-plugin"
"Links","By MiiKey","4,183 downloads","Manipulate links","https://github.com/mii-key/obsidian-links"
"Extract Highlights","By Alexis Rondeau","13,087 downloads","Allows you to extract all ==highlights== in a note into your clipboard.","https://github.com/akaalias/extract-highlights-plugin"
"Share to Cubox","By Redwinam","217 downloads","Share Obsidian notes to Cubox.","https://github.com/Redwinam/obsidian-cubox"
"Simple Dice Roller","By yeeshue99","1,026 downloads","A plug and play solution that allows you to average and simulate dice formulas.","https://github.com/yeeshue99/SimpleDiceRoller"
"Readwise Official","By Readwise","74,972 downloads","Official Readwise <-> Obsidian integration.","https://github.com/readwiseio/obsidian-readwise"
"List Modified","By Francis Kafieh","3,928 downloads","Link all modified files meeting certain criteria to a daily note.","https://github.com/franciskafieh/obsidian-list-modified"
"Auto Front Matter","By conorzhong","382 downloads","Auto update front matter","https://github.com/conorzhong/obsidian-auto-front-matter"
"TikZJax","By artisticat1","7,645 downloads","Render LaTeX and TikZ diagrams in your notes.","https://github.com/artisticat1/obsidian-tikzjax"
"Longform","By Kevin Barrett","30,433 downloads","Helps you write and edit novels, screenplays, and other long projects.","https://github.com/kevboh/longform"
"Finnish Spellcheck","By Anto Keinänen","59 downloads","Spellchecker for the Finnish language using Voikko. / Oikolukija suomenkielellä, joka hyödyntää Voikkoa.","https://github.com/antoKeinanen/obsidian-finnish-spellcheck"
"Tistory Poster","By Woongshik Choi","197 downloads","This plugin posts a note in Obsidian to Tistory blogging platform.","https://github.com/idreamer/tistory-poster"
"Auto Note Mover","By faru","19,200 downloads","Auto Note Mover will automatically move the active notes to their respective folders according to the rules.","https://github.com/farux/obsidian-auto-note-mover"
"Hotkeys Chords","By Dario Balboni","755 downloads","Configurable hotkeys chords to activate Obsidian commands.","https://github.com/trenta3/obsidian-hotkeys-chords"
"Text Dataset Aid Plugin","By Conner Ohnesorge","451 downloads","Aids in the creation of fine-tuning datasets for language models.","https://github.com/conneroisu/Text-Dataset-Aid-Plugin"
"Smart Typography","By mgmeyers","40,302 downloads","Converts quotes to curly quotes, dashes to em dashes, and periods to ellipses.","https://github.com/mgmeyers/obsidian-smart-typography"
"ChatGPT MD","By Bram Adams","21,585 downloads","A (nearly) seamless integration of ChatGPT into Obsidian.","https://github.com/bramses/chatgpt-md"
"Trim Whitespace","By Zack Lovatt","2,719 downloads","Trims unnecessary whitespace from your Obsidian documents.","https://github.com/zlovatt/obsidian-trim-whitespace"
"Pandoc Reference List","By mgmeyers","11,838 downloads","Displays a formatted reference in the sidebar for each pandoc citekey present in the current document.","https://github.com/mgmeyers/obsidian-pandoc-reference-list"
"Hugo preview Obsidian","By fzdwx","623 downloads","Hugo preview for Obsidian.","https://github.com/fzdwx/hugo-preview-obsidian"
"Simple Note Quiz","By beginner137","1,318 downloads","Start a simple quiz on your current note.","https://github.com/beginner137/Obsidian-simple-note-quiz"
"Global Hotkeys","By Marc Jessome","3,867 downloads","Configurable system-wide hotkeys for running commands in Obsidian's desktop app.","https://github.com/mjessome/obsidian-global-hotkeys"
"Obsidian42 - Text Transporter","By TfTHacker","8,525 downloads","Advanced text tools for working with text in your vault.","https://github.com/TfTHacker/obsidian42-text-transporter"
"Checklist","By delashum","224,799 downloads","Consolidate checklists across all files into a single view.","https://github.com/delashum/obsidian-checklist-plugin"
"Activity History","By darakah","13,356 downloads","Track activity of specified projects, Github like activity board.","https://github.com/Darakah/obsidian-activity-history"
"Shortcuts extender","By kitchenrunner","12,095 downloads","Use shortcuts for input special symbols without language switching.","https://github.com/ryjjin/Obsidian-shortcuts-extender"
"Micro templates","By epszaw","141 downloads","Flexible embedded micro templates powered by javascript functions","https://github.com/epszaw/obsidian-micro-templates"
"Obsidian Git","By Vinzent, (Denis Olehov)","559,475 downloads","Backup your vault with Git","https://github.com/denolehov/obsidian-git"
"Awesome Flashcard","By AwesomeDog","1,140 downloads","Handy Anki integration for Obsidian.","https://github.com/AwesomeDog/obsidian-awesome-flashcard"
"Numerals","By RyanC","8,379 downloads","Numerals turns any code block into an advanced calculator. Evaluates math expressions on each line of a code block, including units, currency, and optional TeX rendering.","https://github.com/gtg922r/obsidian-numerals"
"Bulk Rename","By Oleg Lustenko","4,504 downloads","Rename files based on a pattern.","https://github.com/OlegLustenko/obsidian-bulk-rename"
"Obsidian_to_Anki","By Pseudonium","49,984 downloads","This is an Anki integration plugin! Designed for efficient bulk exporting.","https://github.com/Pseudonium/Obsidian_to_Anki"
"Auto Template Trigger","By Numeroflip","1,641 downloads","Automatically prompt for a template, when creating a note.","https://github.com/numeroflip/obsidian-auto-template-prompt"
"Folder Index","By turulix","7,591 downloads","Automatically generate a Map of Content for the current Folder and Subfolders.","https://github.com/turulix/obsidian-folder-index"
"Movie","By Onur Ayçiçek","304 downloads","Search movies info and trailers.","https://github.com/onuraycicek/obsidian-movie"
"Badges","By @gapmiss","585 downloads","Add inline badges/callouts to notes.","https://github.com/gapmiss/badges"
"Callout Manager","By eth-p","6,583 downloads","Easily create and customize callouts.","https://github.com/eth-p/obsidian-callout-manager"
"Ring a secretary","By vorotamoroz","637 downloads","Yet another ChatGPT-powered digital secretary","https://github.com/vrtmrz/ring-a-secretary"
"SamePage","By SamePage","1,908 downloads","Official Obsidian client into the intra tool-for-thought protocol.","https://github.com/samepage-network/obsidian-samepage"
"Key Promoter","By Johannes Theiner","7,014 downloads","Learn keyboard shortcuts by showing them when using the mouse","https://github.com/joethei/obsidian-key-promoter"
"Activity Logger","By Creling","1,393 downloads","Log your activities like creating notes, modifying notes, deleting notes and so on.","https://github.com/Creling/obsidian-activity-logger"
"Multi-line Formatting","By nmady","2,684 downloads","Apply formatting to selected text, dealing with the paragraph breaks.","https://github.com/nmady/obsidian-multi-line-formatting"
"ArchWiki Reader","By Lucy Gschwantner","109 downloads","Read any ArchWiki page directly in Obsidian","https://github.com/Jackboxx/archwiki-obsidian"
"Omnivore","By Omnivore","20,012 downloads","Omnivore plugin for Obsidian.","https://github.com/omnivore-app/obsidian-omnivore"
"Ava","By louis030195","26,324 downloads","Quickly format your notes with ChatGPT.","https://github.com/louis030195/obsidian-ava"
"PaperCut","By darakah","1,175 downloads","Express an idea in the simplest possible way ... or else.","https://github.com/Darakah/obsidian-paper-cut"
"Smart Connections","By Brian Petro","46,706 downloads","Chat with your notes & find links to similar content using artificial intelligence like OpenAI Embeddings, GPT-3.5 & GPT-4.","https://github.com/brianpetro/obsidian-smart-connections"
"CSV Table","By Adam Coddington","11,066 downloads","Render CSV data as a table within your notes.","https://github.com/coddingtonbear/obsidian-csv-table"
"Folder Note Core","By AidenLx","22,988 downloads","Provide core features and API for folder notes","https://github.com/aidenlx/folder-note-core"
"Obsidian Attendance","By Tiim","608 downloads","Helps you take attendance directly inside of your notes.","https://github.com/Tiim/obsidian-attendance"
"Text Progress Bar","By Michael Adams","1,184 downloads","Display low-fi text progress bars in your notes.","https://github.com/michaeladams/obsidian-text-progress-bar"
"Canvas Filter","By Ivan Koshelev","2,462 downloads","Lets you filter Canvas to only show items of specific color, tags or only connected to currently selected node.","https://github.com/IKoshelev/Obsidian-Canvas-Filter"
"Find and replace in selection","By Dmitry Savosh","9,122 downloads","Finds what you are looking for in the selected text and replaces it with the specified text.","https://github.com/dy-sh/obsidian-find-and-replace-in-selection"
"Copy document as HTML","By mvdkwast","6,379 downloads","Copy the current document to clipboard as HTML, including images.","https://github.com/mvdkwast/obsidian-copy-as-html"
"Index Checker","By Pavlo Deshko","160 downloads","Make sure your index (MOC) files contain all links they should contain.","https://github.com/pavloDeshko/obsidian-index-checker"
"Table of Contents","By hipstersmoothie","68,456 downloads","Create a table of contents for a note.","https://github.com/hipstersmoothie/obsidian-plugin-toc"
"Crypto Lookup","By Andrew Lombardi","701 downloads","Use the Cryptonator API to pull prices for crypto in a target currency.","https://github.com/kinabalu/obsidian-crypto-lookup"
"Vault Chat","By Exo Ascension","976 downloads","A ChatGPT bot trained on your vault notes. Ask your AI questions about your own thoughts and ideas!","https://github.com/exoascension/vault-chat"
"Rant-Lang","By Leander Neiß","939 downloads","Thin wrapper around the high-level procedural templating language Rant.","https://github.com/lanice/obsidian-rant"
"Pseudocode","By Yaotian Liu","1,618 downloads","Helps render LaTeX-style pseudocode inside a code block.","https://github.com/ytliu74/obsidian-pseudocode"
"Draw Harada Method","By yildbs","843 downloads","Draw the harada method. Create your own 1 goal, 8 plans, and 64 actions!","https://github.com/yildbs/obsidian-harada-method-plugin"
"Footlinks","By Daha","7,202 downloads","Extracts URLs from main text to footer.","https://github.com/DahaWong/obsidian-footlinks"
"Personal Assistant","By edony","2,375 downloads","Streamline workflows within Obsidian, managing memos, formatted records, callouts, frontmatter, local graph, themes and plugins with just one command.","https://github.com/edonyzpc/personal-assistant"
"No Empty Windows","By L Fahn-Lai","335 downloads","Closes Obsidian window with cmd+W on Mac when the last tab is closed.","https://github.com/popscallion/obsidian-no-empty-windows"
"Korean Book Info Plugin","By kmsk99","2,345 downloads","Crawls Yes24 to get book information.","https://github.com/kmsk99/kr-book-info-plugin"
"Source Scanner","By Gerrie Myburgh","139 downloads","Scanner that extracts comments from source and places it in md files","https://github.com/gerrie-myburgh/source-scanner"
"Aosr","By linanwx","4,111 downloads","Another Obsidian spaced repetition. It uses flashcards to help review and remember knowledge.","https://github.com/linanwx/aosr"
"Export To TeX","By Zach Raines","4,161 downloads","Export vault files in a format amenable to pasting into a TeX document.","https://github.com/raineszm/obsidian-export-to-tex"
"Shell commands","By Jarkko Linnanvirta","24,569 downloads","Define system commands that you want to execute via command palette, hotkeys, URI links or automated events. E.g. open external applications or perform automated file modifications.","https://github.com/Taitava/obsidian-shellcommands"
"Chorded Hotkeys","By Trey Connor Meyers","647 downloads","Type multiple letters at the same time to trigger text insertion, template insertion, or command execution.","https://github.com/ConnorMeyers/obsidian-chorded-hotkeys"
"Copy Block Link","By mgmeyers","28,828 downloads","Get links to blocks and headings from Obsidian's right click menu.","https://github.com/mgmeyers/obsidian-copy-block-link"
"Tomorrow's Daily Note","By Will Olson","3,135 downloads","Creates tomorrow's daily note for preemtive planning.","https://github.com/frankolson/obsidian-tomorrows-daily-note"
"Reveal Active File Button","By Clare Macrae","5,592 downloads","Add a button to the top of the File Explorer, to reveal the active file.","https://github.com/claremacrae/reveal-active-file-button-plugin"
"Recent Files","By Tony Grosinger","230,098 downloads","Display a list of recently opened files.","https://github.com/tgrosinger/recent-files-obsidian"
"ZettelGPT","By Overraddit","218 downloads","Effortlessly generate context-aware answers from ChatGPT within Obsidian, while maintaining a visually clear and organized conversation history.","https://github.com/OverRaddit/ZettelGPT"
"Periodic Notes","By Liam Cain","186,946 downloads","Create/manage your daily, weekly, and monthly notes.","https://github.com/liamcain/obsidian-periodic-notes"
"Trash Explorer","By Per Mortensen","5,750 downloads","Restore and delete files from the Obsidian .trash folder","https://github.com/proog/obsidian-trash-explorer"
"Highlight Public Notes","By dennis seidel","2,633 downloads","Warns that a note is public (based on a frontmatter attribute) by colorizing the note red.","https://github.com/dennisseidel/highlightpublicnotes-obsidian-plugin"
"Prompt","By Hung-Su Nguyen","1,538 downloads","Show inspirational prompts, from a prompt file in your vault.","https://github.com/hungsu/obsidian-prompt"
"braincache","By XSPGMike","1,088 downloads","Create braincache flashcards from Obsidian.","https://github.com/XSPGMike/braincache_obsidian"
"Sliding Panes (Andy's Mode)","By death_au","384,262 downloads","Sliding Panes (Andy Matuschak Mode) as a plugin","https://github.com/deathau/sliding-panes-obsidian"
"Zettelkasten LLM Tools","By Karl Smith","44 downloads","Zettelkasten note taking powered by Large Language Models (e.g. semantic search).","https://github.com/glovguy/obsidian-gpt-zettelkasten"
"Paste Mode","By Jacob Levernier","6,302 downloads","Paste content and mark block quotes at any level of indentation.","https://github.com/jglev/obsidian-paste-mode"
"Local Quotes","By sundevista","2,189 downloads","Collect your quotes from all over the vault and embed them in different locations and watch them refreshing in real-time.","https://github.com/sundevista/local-quotes"
"Flowershow","By Rufus Pollock","274 downloads","Publish with Flowershow directly from your Obsidian vault.","https://github.com/datopian/obsidian-flowershow"
"Smart Random Note","By Eric Hall","20,521 downloads","Open random notes with greater control.","https://github.com/erichalldev/obsidian-smart-random-note"
"Wikipedia Search","By StrangeGirlMurph","2,968 downloads","Search, link and open Wikipedia articles, all within the app!","https://github.com/StrangeGirlMurph/obsidian-wikipedia-search"
"Habitica Sync","By Leoh and Ran","2,689 downloads","Helps integrate Habitica user tasks and stats into Obsidian.","https://github.com/SuperChamp234/habitica-sync"
"🪝 Grappling Hook","By pseudometa","1,876 downloads","Blazingly fast file switching to bookmarked files. For people for whom using the Quick Switcher still takes too much time.","https://github.com/chrisgrieser/grappling-hook"
"Markbase for Obsidian","By Markbase","1,763 downloads","Official Markbase plugin to share your Obsidian notes online in your own digital garden.","https://github.com/markbase-obsidian/obsidian-markbase"
"Obsidian CircuitJS","By Steven Gann","714 downloads","Embeds CircuitJS circuit simulations into notes.","https://github.com/StevenGann/obsidian-circuitjs"
"Zotero Sync","By Frithjof Gressmann","72 downloads","Zotero API client to sync your Zotero library into your vault","https://github.com/frthjf/obsidian-zotero-sync-client"
"Auto Classifier","By Hyeonseo Nam","2,456 downloads","Automatically classify tag from your notes using ChatGPT API. It analyze your note (It can be title, frontmatter, content or selected area) and automatically insert tag where you set.","https://github.com/HyeonseoNam/auto-classifier"
"Double Colon Conceal","By Michal Srch","1,284 downloads","Display double colon (i.e. Dataview inline fields) as a single colon for more natural reading experience.","https://github.com/msrch/obsidian-double-colon-conceal"
