text-lg,col2,py-3,ml-auto href
Todoist Sync Plugin,55360,Materialize Todoist tasks within Obsidian notes.,https://github.com/jamiebrynes7/obsidian-todoist-plugin
Latex Suite,53935,Make typesetting LaTeX math as fast as handwriting through snippets text expansion and editor enhancements.,https://github.com/artisticat1/obsidian-latex-suite
Tab Switcher,53486,Switch your tabs with Ctrl + Tab in recently used order like in a browser.,https://github.com/Vinzent03/tab-switcher
Emoji Shortcodes,52779,Enable the use of Markdown Emoji shortcodes :smile: just like in Slack or Discord.,https://github.com/phibr0/obsidian-emoji-shortcodes
Markdown Formatting Assistant,52682,Provides a simple editor for Markdown and in addition a command line interface. The command line interface facilitate a faster workflow.,https://github.com/Reocin/obsidian-markdown-formatting-assistant-plugin
Obsidian Tabs,52008,New panes are opened in a tabbed view.,https://github.com/gitobsidiantutorial/obsidian-tabs
Vimrc Support,51320,Auto-load a startup file with Obsidian Vim commands.,https://github.com/esm7/obsidian-vimrc-support
Image auto upload Plugin,51273,Upload images from your clipboard by PicGo.,https://github.com/renmu123/obsidian-image-auto-upload-plugin
Juggl,50271,Adds a completely interactive stylable and expandable graph view to Obsidian.,https://github.com/HEmile/juggl
Obsidian_to_Anki,49984,This is an Anki integration plugin! Designed for efficient bulk exporting.,https://github.com/Pseudonium/Obsidian_to_Anki
Custom Frames,49612,Turns web apps into panes using iframes with custom styling. Also comes with presets for Google Keep Todoist and more.,https://github.com/Ellpeck/ObsidianCustomFrames
Timelines,48709,Create a timeline view of all notes with the specified combination of tags.,https://github.com/Darakah/obsidian-timelines
Text Format,48573,Format selected text upper/lower/capitalize.,https://github.com/Benature/obsidian-text-format
Sortable,47488,Wikipedia-like sortable tables.,https://github.com/alexandru-dinu/obsidian-sortable
Settings Search,47031,Globally search settings in Obsidian.,https://github.com/javalent/settings-search
Diagrams,46835,Create and edit Draw.io diagrams in Obsidian.,https://github.com/zapthedingbat/drawio-obsidian
Smart Connections,46706,Chat with your notes & find links to similar content using artificial intelligence like OpenAI Embeddings GPT-3.5 & GPT-4.,https://github.com/brianpetro/obsidian-smart-connections
Convert url to preview (iframe),46698,Convert a URL (e.g. YouTube) into an iframe (preview).,https://github.com/FHachez/obsidian-convert-url-to-iframe
Collapse All,46068,Extends collapse/expand all with commands that can be bound to hotkeys.,https://github.com/OfficerHalf/obsidian-collapse-all
Typewriter Scroll,44692,Typewriter-style scrolling which keeps the view centered in the editor.,https://github.com/deathau/cm-typewriter-scroll-obsidian
Obsidian TODO | Text-based GTD,43544,Text-based GTD in Obsidian. Collects all outstanding TODOs from your vault and presents them in lists Today Scheduled Inbox and Someday/Maybe.,https://github.com/larslockefeer/obsidian-plugin-todo
File Explorer Note Count,43386,The plugin helps you to see the number of notes under each folder within the file explorer.,https://github.com/ozntel/file-explorer-note-count
Simple Embeds,41917,Replace Twitter and YouTube links with embeds when previewing a file.,https://github.com/samwarnick/obsidian-simple-embeds
PlantUML,41307,Generate PlantUML diagrams.,https://github.com/joethei/obsidian-plantuml
Smart Typography,40302,Converts quotes to curly quotes dashes to em dashes and periods to ellipses.,https://github.com/mgmeyers/obsidian-smart-typography
Clear Unused Images,40270,Clear the images that you are not using anymore in your Markdown notes to save space.,https://github.com/ozntel/oz-clear-unused-images-obsidian
Markdown Table Editor,39945,Provides an editor for Markdown tables. It can open CSV Microsoft Excel/Google Sheets data as Markdown tables from Obsidian Markdown editor.,https://github.com/ganesshkumar/obsidian-table-editor
Meld Encrypt,39756,Hide secrets in your notes.,https://github.com/meld-cp/obsidian-encrypt
Review,38858,Add a link to the current note to a daily note on a future date (or a past date you time traveller).,https://github.com/ryanjamurphy/review-obsidian
Workspaces Plus,38854,Quickly switch and manage workspaces,https://github.com/nothingislost/obsidian-workspaces-plus
Book Search,38460,Helps you find books and create notes.,https://github.com/anpigon/obsidian-book-search-plugin
Plugin Update Tracker,38195,Know when installed plugins have updates and evaluate the risk of upgrading.,https://github.com/swar8080/obsidian-plugin-update-tracker
Text Extractor,37927,A (companion) plugin to facilitate the extraction of text from images (OCR) and PDFs.,https://github.com/scambier/obsidian-text-extractor
Remember cursor position,37729,Remember cursor and scroll position for each note.,https://github.com/dy-sh/obsidian-remember-cursor-position
Another Quick Switcher,37390,Another choice of Quick switcher.,https://github.com/tadashi-aikawa/obsidian-another-quick-switcher
Reading Time,37140,Add the current note's reading time to Obsidian's status bar.,https://github.com/avr/obsidian-reading-time
Hotkey Helper,37118,Easily see and access any plugin's settings or hotkey assignments (and conflicts) from the Community Plugins tab,https://github.com/pjeby/hotkey-helper
